127.0.0.1, 2019-05-15 18:44:47, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.581000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:48, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:51, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2019-05-15 18:44:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2019-05-15 18:44:51, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/default/index, HTTP/1.1, 200, 0.233000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-15 18:44:54, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-15 18:44:55, POST, /admin/default/index, HTTP/1.1, 303, 0.017000
127.0.0.1, 2019-05-15 18:44:55, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2019-05-15 18:44:56, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:56, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:56, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-15 18:44:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.331000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/default/index, HTTP/1.1, 200, 0.217000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-15 18:44:58, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/default/user/register, HTTP/1.1, 200, 0.258000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.029000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2019-05-16 02:30:44, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2019-05-16 02:30:53, POST, /start/default/user/register, HTTP/1.1, 303, 0.043000
127.0.0.1, 2019-05-16 02:30:53, GET, /start/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2019-05-16 02:30:53, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-05-16 02:30:53, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.052000
127.0.0.1, 2019-05-16 02:30:55, GET, /start/default/index/new/products, HTTP/1.1, 200, 0.031000
127.0.0.1, 2019-05-16 02:31:01, POST, /start/default/index/new/products, HTTP/1.1, 200, 0.032000
127.0.0.1, 2019-05-16 02:31:08, POST, /start/default/index/new/products, HTTP/1.1, 303, 0.029000
127.0.0.1, 2019-05-16 02:31:08, GET, /start/default/index, HTTP/1.1, 200, 0.022000
127.0.0.1, 2019-05-16 02:31:54, GET, /start/default/user/logout, HTTP/1.1, 303, 0.029000
127.0.0.1, 2019-05-16 02:31:54, GET, /start/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2019-05-16 02:31:58, GET, /start/default/user/login, HTTP/1.1, 200, 0.106000
127.0.0.1, 2019-05-16 02:31:58, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
